,combined_text
464,cannula for iv sets x ml syringe bd blunt plastic cannula becton dickinson item number medical supplies
465,cotter pins clevis pins dowel pins spring pins cmcconcretedowels
466,trousers tactical poly rayon mens sz firm order for andy
467,locks key blanks and locksmith tools locksmith services mar duplicate keys wo
468,transformers power distribution incl fluid fill st elmo
469,conduit steel galvanized flexible liquidtite splices compression full tension for copper conductor on qualified products list critical materials supply arrangement
470,chairs guestside metal sled base this equipment shall be provided in accordance with furniture marketing group proposal no submitted by terri shellenberger on us communities contract no please contact rossy farinastrauss prior to placing this order very side seating w fabric seating
471,blocks fuse selfstripping type fuse link nema standard type n fit all amp inclusive on qualified products list to be used for street light onlyfor distribution applications use part per kc fagen critical materials supply arrangement
472,valve ball bronze stemchrome plated brass bal rc ln qty del pf bo del date material needed at awgbsc
473,broom push soft hair wo handle in rc ln qty del pf bo del date material for webberville store
474,pliers vise grip str jaw in rc ln qty del pf bo del date material needed at awgbsc
475,horseshoes horseshoe nails farrier tools and bl permanent farrier having surgery austin police mounted patrol horse service
476,installation supplies adhesive edge strip seam t electrical tape red tessco see attached
477,extinguisher fire dry chemical lb rc ln qty del pf bo del date material needed at awgbsc
478,valve gate brass in wheel type rc lnqty delpfbodel date material needed at wbsc
479,locks key blanks and locksmith tools locks for library
480,sprayer pump container rc ln qty del pf bo del date material needed at awwbsc
481,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec dated replaces critical materials supply arrangement
482,guard rail galv x x gordon specialistguardrailsmike collier
483,installation supplies adhesive edge strip seam t electrical tape brown tessco see attached
484,street light poles and standards st light decorative pecan street style green high pressure sodium per ae dwg no and ae spec all hardware shall be stainless steel and tamper resistant not a warehouse item dynamic lighting pn generated by reorder am
485,twoway radio supplies parts and accessories pn tessco fews
486,lights emergency soundoff ghost led amber lone star products see attached
487,fittings and accessories vent pipe jaw sox spider
488,tools electricians and linemans including cabl fault indicator for to mcm cable for padmount equipment auto reset on time and current proximity immunity to at least at auto inrush restraint load tracking above ampselbo or cable mounted closed core uv protected hot stick applied must meet or exceed ansiieee standard packed two per carton in qpl generated by reorder am
489,insulators and parts pole line insulator deadendsuspension kv polymer type distribution class with tongue and clevis end fittings shall meet requirements of ieee on qualified products critical materials supply arrangement cmsa
490,books library bks ingram gf bks
491,twoway radio portable including vehicle radio r motorola apx portables model n qte motorola apx portables n
492,water cooler plastic wpressure fit lid gallons rc lnqty delpfbodel date material needed at awgbsc
493,bicycles tricycles etc for exercise bikes see repair treadmill at st requested by ralph repair treadmill st
494,shirt golf coa logo navy golf shirts bo
495,microcomputers desktop or towerbased quote buy board aww surface pro core
496,ear plug disposable rc ln qty del pf bo del date msc items for glen bell
497,wire bare copper kramer
498,headlight adjustable angle red led for map reading aaa ba rc lnqty delpfbodel date material needed at awgbsc
499,covers anchor bolt deadend formed wire strand copper color code green holding strength lbs on qualified products list generated by reorder pm
500,gun grease multiload no c rc ln qty del pf bo del date grainger weekly scan for glen bell warehouse
501,application software microcomputer adobe indesign indesign
502,cable power type xlpe cable power aluminum a wg conductor xlpe mil insulation full neutral per specification latest revision on qpl reel shall be nonreturnable wood with pressed in metal hub inch arbor hole this dimension must be maintained even with the use of the pressed in metal hub steel plate hubs are not accepted max flange measurement and max outside to outside measurement foot age shall be ft or critical materials supply arrangement cmsa
503,guy wires and cables guy strand sm hs ehs etc dispenser guywire safetypreformed units in a carton generated by reorder pm
504,computer hardware and peripherals for microcompute cisco power supply watt cdw qty requestor ray molina gabriela harthcock procurement specialist ii instant access poe switch w redundant ps capablity
505,impact tools air powered not road building w w grainger
506,xl nitrile glove prper box boxesper case rc ln qty del pf bo del date webberville qia items from msc
507,cable power type xlpe cable power aluminum a wg conductor xlpe insulation full neutral per specification latest revision on qpl reel shall be nonreturnable wood with pressed in metal hub or greater arbor hole steel plate hubs are not accepted max flange measurement and max outside to outside measurement foot age shall be ft or begin stocking per new dcs on critical materials supply arrangement
508,tape sealant teflon in x yds rc ln qty del pf bodel date delivery date shall be no later than grainger material for awgbsc
509,lumber hardwood all kinds ace contractorsdale fischerconstruction material
510,asphaltic concrete hot mix in accordance with it apac texas hot mix various sections
511,microcomputers desktop or towerbased tablets for awu
512,locks key blanks and locksmith tools padlock keyed for ae key only these locks can only be keyed by cothrons safe and lock in austin tx these locks are for use on distribution equipment such as airswitches and distribution switchgearcseries pop shackle multt lock key retaining clearance generated by reorder pm
513,books library bks ingram bks gf
514,trash pumps portable enginedriven trash pumpsfor field services s morrow
515,lights emergency soundoff ghost surface mount led lone star marketing see attached
516,head ear eye and face protection awu estimated annual amount safety glasses for tyrone bethel
517,extinguisher fire abc multipurpose powder with fire extinguishers
518,cocoa mix hot instant pack rc ln qty del pf bodel date grainger weekly order for webberville warehouse
519,bleach gal cont bleach gallon container note removed hazmat flag per g durante rb non stock per idle stock review lawrence byrd dbs generated by reorder pm
520,tires and tubes tires and tubes highway and off road tires and tubes
521,cpap system small adult otwo systems item cpap system small adult medical supplies emergency patient care for stock
522,street light poles and standards shoebox streetlight assembly this complete unit contains one foot black pole one black fixture one inch black arm one black hand hole cover and black pole cap in accordance with specification cardinal flower mr
523,band instruments and accessories megarity pipe chanter reed size medium pricing awarded through solicitation bagpipe materials accessories for honor guard
524,twoway radio supplies parts and accessories tessco tessco parts sns attached wdisc
525,asphaltic concrete hot mix in accordance with it apac texas hot mix various sections
526,parts and accessories flowmeter system free reagent set hach suppliesdavis wtpnov
527,fuses fuse blocks and holders links etc fuse link fitall amp cap bank ks on qpl critical materials supply arrangement
528,parts and accessories domestic water treatment chemical feed parts feb davis wtp chemical feed parts
529,monitors color and monochrome environmentally certified dell monitor aaa catalog number equote number contract pc monitors parks rec
530,bushings transformer terminal bushing plug kv for transformer bushing well load break on qualified products list critical materials supply arrangement
531,computer accessories and supplies cusstyplstc active dao quote contract laptops watershed protection
532,janitorial supplies general line gulf coast paper inc
533,cord ext wmoulded plug ft rc ln qty del pf bo del date msc for webberville store
534,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec latest revision replaces critical materials supply arrangement cmsa
535,trouser uniform cotton nfpa men plain pockets afd replenishment backorders
536,automotive maintenance items and repairreplacemen auto parts for shop pms
537,models manikins and instructional aids chestskin mckellyals sim mannequin repairs
538,ties spool tie preformed for use on secondary conductors on qualified products list critical materials supply arrangement
539,clothing athletic casual dress uniform wthr work austin screen printing metz april austin screen printing shirts metz
540,lamps fluorescent preheat starter or pushbutto watt highpressure sodium lamp shall contain up to less mercury than a standard highpressure sodium lamp lamp shall include a welded leadfree brass base shall pass the existing federal tclp limits and be rated for hours life lamp shall be a direct retrofit on existing ansi designated ballasts of similar wattage of standard highpressure sodium lamps and shall meet existing ansi specifications for those corresponding wattages lamp shall have no more than the same warmup time and hot restrike time as a standard highpressure sodium lamp lamp shall be noncycling and shall remain off at the end of life and shall not cycle on qualified products list generated by reorder pm
541,conduit and fittings aluminum connector transformer tank grounding solid to stranded bronze shall accommodate unbroken ground wires side loading on qualified products list cross reference note replaces bill g critical materials supply arrangement
542,fittings welding equipment miller or equal ea drag shield miller pt ea miller plasma cutter fittings
543,freight and cargo containers shipping see class mobile mini monthly rental rosewood contract monthly rent mth aug rental of storage unit for
544,compound pipe joint screw pipe pt can rc lnqty delpfbodel date material neeeded at awgbsc
545,sand and gravel txigravel and sandconcrete
546,lights emergency front interior lightbar ford suv w cable tomar electronics see attached
547,aggregate gravel marble and stone chips etc f austin aggregatesbrad kirkwashed river rock loads
548,vests safety reflectorized vest safety high visibility lime green class ii fr size x large knit vest with hook loop front closure double left and single right chest pocket weighing oz per square yard with visibility standards in ansi and fr standards in astm silver reflective stripping shall be used for contrast vest are for workers who need greater visibility due to these factors potential bad weather vehicle or equipment speeds that exceed mph tasks that take attention away from traffic andor activities that take place close to traffic class ii vests provide protection for occupations that include crossing guard and airport ground crew general use only qpl safety vest lime green
549,lights emergency lamp lstick tomar for afd see attached
550,lights emergency lamp lstick tomar for afd see attached
551,raincoat pvcnylon wdet hood lime green in long small rc ln qty del pf bodel date delivery date shall be no later than msc qia material for awwbsc
552,nipple brass x in rc ln qty del pf bo del date material needed at awwbsc
553,short wheelbase twoand fourwheel drive vehicle abia buy board light duty package part of
554,floor maintenance machines parts and accessories repairs parts for floor equipment
555,cable type abam cablebare stranded wire before strandingshall be soft or annealed copper tin coated conforming before stranding to astm specifications for tinned soft or annealed lead coated and lead alloy coated and lead alloy coated soft copper wire latest edition all conductors sizes furnished under this specification shall have astm class a or class b stranding and shall be in accordance with edition specifications for concentrically stranded copper conductors on qualified products list reel shall be nonreturnable wood max flange measurement and max outside to outside width inch arbor hole this dimension must be maintained even with the use of the pressed in metal hub purchasing footage shall be ft critical materials supply arrangement
556,wheels and rims including wheel covers and hubcaps tire cover item tiresocks are used to protect finished flooring from scuff
557,wire bare copper type mhd wire bare mhd solid copper size packaging shall be lb hand coils approx ft on qualified products list critical materials supply arrangement
558,impact tools air powered not road building home depotmike girod
559,circuit breakers load centers boxes and panelbo conduit fittings conduit fittings walnut johnson
560,bolt hex head zinc x rc ln qty del pf bo del date material needed at wbsc
561,cable type abam cablebare stranded coppertinnedsoftbefore strandingshall be soft or annealed copper tin coated conforming before stranding to astm coated soft copper wire latest edition all conductors sizes furnished under this specification shall have astm class a or class b stranding and shall be in accordance astm latest editionspecifications for concen trically stranded copper conductors on qualified products list reel shall be nonreturnable wood max flange measurement and max outside to outside width measurement purchasing footage shall be ft specifications for tinned soft or annealed lead coated and lead alloy critical materials supply arrangement
562,medical dental and lab supply per price agreement ambu blue sensor sp electrodes medical supplies
563,soap liquid lotion type waterless hand cleaner
564,asphaltic concrete hot mix in accordance with it apac texas hot mix various sections
565,bandage knuckle x in fas rc ln qty del pf bodel date delivery date shall be no later than grainger material for webberville warehouse
566,rescue equipment supplies and accessories includi pr quote eclipse charger base ac adaptors attn brian kline bullard tic parts
567,paints traffic black traffic paint gal drum traffic paint for abia
568,janitorial supplies general line cleaning supplies and equipment
569,cable guy steel wire guy in extra high strength ftcoil galvanized class a this steel shall comply with astm latest revision applicable to the grades and sizes listed on qualified products list note this wire is available in feet csn critical materials supply arrangement cmsa
570,sprayers and spray systems industrial heavy duty tractor supplyspecial projskid mounted sprayer
571,police protection equipment body armor and riot s each hammer plastics round top and hat box item blk hammer plastics mfg sccblk each round top hat box
572,reducer ci mech jt mech jt x in rc ln qty del pf bo del date reducers needed for hornsby cip job
573,masimoinfant disp sensor lncs sensor infant kg masimo item number medical supplies
574,automotive accessories for automobiles buses tru sun coast contract
575,twoway radio supplies parts and accessories tessco freight tessco pn
576,cameras digital type incl digital network cameras the city of austin is seeking proposals from qualified vendors to provide a highresolution digital system for photographic images of red light violators at various intersections controlled by traffic signals within the city of austin the goal of the program is to reduce collisions and injuries related to red light running estimated per year with a yr contract totaling million redflex dec
577,lamps fluorescent incandescent mercury vapor q airfield replacement runway control system circuirt board airfield replacement runway control system circuirt board
578,sling nylon web ft rc ln qty del pf bo del date material needed at awbsc
579,shoes safety toe safety shoe distributors llp december payment
580,clothing athletic casual dress uniform wthr work refer to quote for details gildan adult heavy cotton oz short sleeve tshirt white gildan adult heavy cotton oz short sleeve tshirt white grand total lions and roy kizer resale golf shirts
581,conduit and fittings aluminum connector elbow load break with test point for kv cable concentric neutral urd cable kv molded rubber shielding on qualified products list critical materials supply arrangement
582,printers laser apd hp laserjet danielle lord apd hp laserjet danielle lord
583,books library purchase of adult and juvenile books ingram books gf
584,ticket vending machine traccards
585,patch texas department of health intermediate replaces firm order coa dept
586,nipple brass x in rc ln qty del pf bo del date material needed at wbsc
587,janitorial supplies general line gulf coast paper
588,lamps fluorescent incandescent mercury vapor q metal halide tube lamps for abia max po pr
589,twoway radio supplies parts and accessories motorola
590,jean blue mens size x blue jeans
591,shirt t ash ls size large firm orders coa
592,wrench pipe in rc lnqty delpfbodel date material needed at awwbsc
593,insecticide aerosol bomb oz rc ln qty del pf bodel date delivery date shall be no later than msc material for awwbsc
594,poles creosote treated st elmo lufkin cresoting
595,king system supraglottic airway kit red siz medical supplies
596,targets police targets x black white phototarget with scoring and command training circles csat targets
597,chlorine liquefied liquid chlorine and cylinders chlorine liquefied
598,asphaltic concrete cold laid cold mix asphalt ray andrews
599,knives pocket knife cable skinning generated by reorder am
600,mechanical pump and shaft seals spiral trac brushing counterclockwisecut ring
601,thermometers and gauges qty item number desctription prd psi wsw unit price qty item number description gasket flange unit price payment terms net term days qualitrol transformer gauges
602,freight and cargo containers shipping see class containers for aquatic mobile mini aquatic
603,network components adapter cards bridges connec marie martinez global digitial voice term
604,steel reinforcing bars and rods alamo iron workssteel dowelsdale fischer
605,splices wirecable compression htap live end cap with bail change to insurance stock per st elmo idle stock review in qpl critical materials supply arrangement
606,application software microcomputer ticket per quote network storage for abia security
607,access control systems and security systems this equipment shall be provided in accordance with simplex grinnell l ps proposal submitted by dwain deiterman on txmas contract feb frozen pipe chicon wo
608,sling nylon web ft rc ln qty del pf bo del date grainger material needed at glen bell warehouse
609,biodiesel fuel sun coast contract
610,shirts dress and casual neigborhood connectivity shirts
611,microcomputers desktop or towerbased environmentally certi dell equallogic dir vm hosts for the hansen upgrade at awuit svcs
612,boat fenders for rope up to dia west marine model safety equipment
613,socket set in drive thru in rc ln qty del pf bo del date material needed at wbsc
614,gloves work mechanic synthetic leather sz xlarge rc ln qty del pf bo del date material needed at awgbsc
615,battery penlight size aaa rc ln qty del pf bo del date material needed at wbsc
616,dead end hardware electrical deadend formed wire in guy galvanized steel strand color code orange extra high holding strength lbs on qualified products list critical materials supply arrangement
617,shirt uniform ls apd navy sz x fim order andy allen
618,wrench pipe offset inch rc ln qty del pf bo del date material needed at wbsc
619,novelties and advertising specialty products grow green artwork on flash drive grow green artwork on flash drive
620,hardware accessories mounts patches plates sea meraki cloud mgd ap quote contract wifi expansion items austin water utility
621,cutouts pole line type cutout shall be rated amp continuous current for operation on a system cutout shall be polymer with a bil cutout shall have an interrupting rating of symmetrical asymmetrical cutout shall be designed to be interchangeable with other manufacturers fuseholders fuse tube liner shall be synthetic bone fiber material or approved equal cutout shall utilize a linkbreak lever to mechanically break fuselink element will replace item upon cutover completion dp critical materials supply arrangement
622,chlorinating and oxidizing agents bromohydantoins naoci
623,pediatric non breathing oxygen mask hudson rci medical supplies
624,microcomputers desktop or towerbased environmentally certi poweredge vm server for arcgis production poweredge vm server for arcgis production
625,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec dated replaces critical materials supply arrangement
626,poles embedded steel pole adder ground sleeve galvanized per austin energy drawing transmission jeff rebuild was
627,pediatric non breathing oxygen mask hudson rci pen light pedi nonrebreathers
628,braces cross arm arm deadendfiberglass in wide x in deep x ft long gray minimum per phase uv inhibitors added throughout wadditional uv coating on outside of arm to prevent blooming breakdown of fiberglass integrity arms filled wa high density closed cell expandable foam crossarm tested per arms wmin distance between outside phases deadend attachments to be eyebolts pin holes mounting brackets have keyhole on top slot on bottom mounting holes on centers wtop at from top of slot center mount wa dual guy attachment with holes rated at lb min per hole the crossarm shall have a maximum allowable deflection of inches per pounds manufacturing per qpl replaces wood deadend arm csn per distributin construction standards committee critical materials supply arrangement
629,janitorial supplies general line cs towel cfold bleached case cfold bleach towls
630,glucose gel vanilla or caramel glucose gel vanilla or caramel boundtree medical part number medical suppliesemergency patient care for stock replenishm
631,rescue equipment supplies and accessories includi fire equipment adapters tools fire hose etc per contract pricingquote nozzles adpaters hydrant valves etc for ed services
632,monitoring equipment security closed circuit fo camera surveillance ptz spectra iv indooroutdoor smoke pelco surveillance camera spectra iv max po pr
633,souvenirs promotional advertising etc quote number dated september ar recognition geft sets
634,scanners document handheld desktop and high vol std onsite mfg contract tcpn technology solutions
635,bolts anchor hot rolled steel nuts bolts carriage galvanized x with a minimum thread length of on qualified products list critical materials supply arrangement cmsa
636,underground cables and wires solid and stranded st elmo
637,meter cold water inch fire hydrant serial numbers for this order thru meter order for warehouse inch fire hydrant
638,shoes safety toe safety shoeboot
639,monitors color and monochrome environmentally certified dell inch monitor req monitors
640,safety surfaces playground freight mi trip freight mi trip fuel surcharge posted proce drop charge quote quote date revised on sales rep linda hudspeth deliver to pickfair recreation center pickfair dr austin tx contact person rey hernandez or lance seveska engineered wood fiber
641,street light poles and standards foundation streetlight hot dipped galvanized steel diameter x degree cable ways center from top length shaft base to have holes drilled and tapped on centers with hex head bolts and lockwashers attached to top plate bolt threads shall be coated with silicon lubricant in accordance with attached drawing a vnotch shall be provided in top plate for wireway entrance orientation on qualified products list non stock per l byrd st elmo dbs reactivated at st elmo per r battles dbs generated by reorder pm
642,sheds storage rentalpurchase of storage containers turner roberts rec ctr monthly rental of sn contract mobile mini monthly rental turner roberts rec cent
643,bags plastic storage writeon x zip top bags wwhite write on area bags per case prf multiple size evidence zip lock bags wwhite write on area
644,telecommunication parts and accessories not other liberator wireless receiver up to concurrent users auto speaker mute auto microphone mute long upper cable for motorola mototrbo and apx series radios waterproof mic enclosure independently tested conformal coated mic circuit board powered by portable radio portable radio only configuration amplified microphone level for use with ka series us patent setcom parts see attached
645,flexible base road base nsc loads road base north
646,gloves work mechanic synthetic leather sz medium rc ln qty del pf bodel date delivery date shall be no later than msc material for awwbsc
647,impact tools air powered not road building january bsd purchases
648,twoway radio supplies parts and accessories motorola cable motorola see attached
649,microcomputers desktop or towerbased environmentally certi bragg optiplexmonitor
650,tourniquet cat combat tactical black tourniquet cat black composite resource item number cat tourniquet
651,monitors color and monochrome cga vga svga et standard monitor steven campos desktopmonitor
652,nameplates plastic metal desk holders each employee office name plates
653,expendable items plexi glass winsheild plexi glass windsheild
654,tires light truck bias ply or bias belted conve tires for
655,bus bars duct and accessories rfq bus in x in x full rounded edges sizes as specified in foot lengths unless stated otherwise on purchase order manufactured in compliance with all applicable sections of astm designation b on qualified products list material must be packed in wooden crates um changed from ft to ea ea one ft stick maintain each minmax insurance stock to support network vaults per reagan moore insur stk review bus bar copper
656,trousers tactical poly rayon mens cadet apd
657,uniforms blended fabric pants sets for people quote date june ea red kap pantsbrown mens durakap industrial pant ea pants shirts jackets for aquatic mantenance staff
658,monitors color and monochrome cga vga svga et purchase of monitors x as per dell quote all terms and conditions governed by debora anderson buyer i monitors
659,sleeve ci mech jt reg x in rc ln qty del pf bo del date sleeves for glen bell warehouse
660,animal carriers cardboard pet carriers for tlac each cardboard pet carriers
661,valve ball bronze stemchrome plated brass bal rc ln qty del pf bo del date material needed at wbsc
662,trees ornamental and shade mitigation trees
663,work clothes camo jungle hats baseball caps item
664,cleaner and wax window mirror and glass st elmo
665,trousers tactical poly rayon mens tactical pants stock
666,sand and gravel martin mariettasand and gravelconcreteutilities section
667,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec latest revision replaces critical materials supply arrangement cmsa
668,magnesium hydroxide magnesium hydroxide for sar magnesium hydroxide for sar
669,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec latest revision replaces critical materials supply arrangement cmsa
670,steel reinforcing bars and rods aiwutility cutseliwire mesh dowels
671,monitors color and monochrome cga vga svga et computer for new fte office of real estate
672,kit first aid outdoor complete rc ln qty del pf bo del date materials needed for webberville warehouse
673,souvenirs promotional advertising etc setup fee for pens outreach materials
674,work clothes fr shirts gt distributors fr shirts gt distributors
675,trousers tactical poly rayon mens apd tactical pants with hem
676,asphaltic concrete hot mix in accordance with it apac texas hot mix various sections
677,serums toxoids and vaccines reservation units of fluzone highdose ten singledose prefilled syringes contains no preservative unit price federal excise tax per dose units of fluzone quadrivalent multidose vial months of age and older unit price federal excise tax per dose other savings vaccineshoppecom savings requested by saeed azadi on season reservation fluzone
678,laminates standard plastic file folders and lable sheets for records file room
679,parts mowershredder misc brand listed or equa gasket for mower each mower parts for vehicle
680,meter cold water compound serial number compound water meter
681,sam splints lightweight orange universal splint la sam splints flatfold sam medical item number medical supplies emergency patient care for stock
682,sodium phosphates and polyphosphates davis wtp sodium phosphates and polyphosphates for ullrich wtp
683,television receivers and consoles samsung lcd tv televisions for ems
684,washers flat sae zinc plated rc ln qty del pf bo del date material needed at wbsc
685,medical dental and lab supply per price agreement medical supplies for clinic medical supplies for clinic
686,glasses safety blackgray frame smoke lens antifog rc lnqty delpfbodel date material needed at awgbsc
687,fuses fuse blocks and holders links etc fuse link fitall amp type x this replaces pn which will be obsolete per kc fagen on qpl critical materials supply arrangement
688,clothing athletic casual dress uniform wthr work master agreement for pard for various sizes style of tshirt and caps ea item tshirts ea quote quote date salesperson is kyle shaw pard contact person is kimberly carrollflores tshirts
689,work clothes woody green uniform woody green
690,application software microcomputer brillsymantec backup
691,continuous form labels pressure sensitive custom city of austin seals
692,coverall disposable ltfabric wcollarszlgwo hoodno ela rc ln qty del pf bo del date material needed at wbsc
693,links renewal for ren and res fuses fuse refill unit for switchgear amp holder fuse refill unit amp slow speed for pad mounted switchgear with sc type fuse holder on qpl replaces ae pn per ae fusing policy maintain as insurance per ae fusing policy critical materials supply arrangement
694,water drinking including distilled cold hot water coolers each drinking water
695,janitorial supplies general line cs air freshener linen ln janitorial supplies
696,cable type xlp cablesingle voltssize xlp insulation crosslinked polyethylene per icea publication to be used in conduit on qualified products list shall be furnished on nonreturnable wood reels max flange measurement and max outside to outside measurement purchasing footage shall be ft ae will continue to use in addition to per kc fagen critical materials supply arrangement
697,cable power type xlpe awgalumfull acsr neutralxlp deg c max operating temp wire shall be furnished on nonreturnalbe wood reels max flange measurement and max outside to outside width measurement shall be purchasing footage shall be ft on qualified products list replaces per g noble new dcs critical materials supply arrangement
698,wiring devices adapters caps connectors extens kramer techline
699,modular panel systems with synthetic connecting x height modesty panel furniture for cubicles in room meinardus
700,shovel small round point rc ln qty del pf bodel date delivery date shall be no later than grainger material for awwbsc
701,wipes industrial paper towel decomposable buy board janitorial supplies
702,poles metal transmission high voltage pole steel galvanized per spec ft length wr old fredericksburg
703,readymix concrete ready mix concrete
704,fiber optics cables interconnecting components a fiber optic cable installation coamlk and comal fiber optic cable installation coamlk and comal
705,transformers power distribution incl fluid fill transformer padmounted phase feed thru switch dead front kva in accordance with specification on qualified products list ordered for forecast jobs designer spreadsheet
706,beverage electrolyte replacement mix sugar free grape rc lnqty delpfbodel date material needed at awgbsc
707,automotive maintenance items and repairreplacemen auto parts for shop pms
708,microcomputers desktop or towerbased environmentally certi optiplex minitower and computer hardware
709,bushing galv pipe x in rc ln qty del pf bo del date material needed at awwbsc
710,switches miscellaneous switcher circuit ka switcher circuit
711,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec dated replaces critical materials supply arrangement
712,structural supports and racks mechanical type an clamp ground vise type for ground rod cast bronze with square or hex head screw on qpl this will replace csn after stock has depleted critical materials supply arrangement
713,bandannas neck styleheat stress assorted colors rc ln qty del pf bo del date material needed at awwbsc
714,glove utility fast fit size xlarge rc ln qty del pf bo del date material needed at wbsc
715,video camerarecorders accessories and parts por sonycase for sony anycase touch l model channelaustinfield equipmentcameracamera accessories
716,network components adapter cards bridges connec services to atd at the lcra miller bldg
717,cable power type xlpe cable power aluminum a wg conductor xlpe mil insulation full neutral per specification latest revision on qpl reel shall be nonreturnable wood with pressed in metal hub inch arbor hole this dimension must be maintained even with the use of the pressed in metal hub steel plate hubs are not accepted max flange measurement and max outside to outside measurement foot age shall be ft or critical materials supply arrangement
718,tape measuring stl in x ft rc ln qty del pf bodel date delivery date shall be no later than msc material for glen bell warehouse
719,ezio driver model used by paramedics for i ezio power driver vidacare part no ezio driveremergency patient care for stock replenishment
720,coupling stl pipe repair in stl pipe rc ln qty del pf bo del date material needed at awwbsc
721,lugs compression type and soldering type connector terminal compression for mcm aac all aluminum filled with inhibitor pad hole spacing tin plated pad width to be no wider than inches must be compatible with burndy crimp die permanently labeled die on qualified products list critical materials supply arrangement
722,readymix concrete yards flowable high nandas drsm sz concrete mixjohnsonj
723,pole line hardware anchors arms bolts braces pin insulator above arm long shank by dia inch nylon threads only with square washer and nut on qualified products list order stock refurbish nylon threads only and remove lead head pins from ae stock per standards committee on critical materials supply arrangement
724,biodiesel fuel sun coast contract
725,asphaltic concrete hot mix in accordance with it apac texas hot mix various sections
726,shirt unif ls fireretardant blu medreg various sizes for the fire retardant work shirts ray oneal
727,replacement parts for ford covert ford lincoln med heavyduty parts repair services
728,ties wire ties preformed for single pin constuction for use on class insulator on qualified products list critical materials supply arrangement cmsa
729,impact tools air powered not road building assorted tools and equipment assorted toolsequipmentsigns sectionatd
730,vest safety alamo iron worksdale fischer
731,fuse cartridges st elmo techline
732,screwdriver industrial flathead x rc lnqty delpfbodel date material needed at awgbsc
733,conduit pvc sch conduit bend pvc in schedule with one integral bell end degree angle in radius on qualified products list generated by reorder am
734,parts and accessories domestic water treatment adaptersgasketsvalvesscrews etc misc parts
735,conduit pvc schedule conduit pvc in schedule ft section with one bell end on qualified products list pvc conduit accessories
736,network components adapter cards bridges connec dir contract turnerlan switches
737,kit infection control personal protection unit safetec of america infection control kits
738,transformers power distribution incl fluid fill st elmo greenville
739,janitorial supplies general line nov purchase of cleaner receptacles toilet tissue
740,barrels drums kegs and containers ea motor ac ea gearbox ea gearbox ea gearbox gearboxes and ac motors max po pr
741,asphaltic concrete hot mix in accordance with it apacvarioius sectionshot mix all types
742,nameplates plastic blue name plate one line cadet class ordered each apd office name plate order
743,floor machines polisher and parts and accessorie center locks for urnishers pn
744,ethanol sun coast contract
745,medical dental and lab supply per price agreement medical supplies medical supplies
746,fencing includes brace truss assemblies and all nec hardware install new fence feet
747,insecticides and fungicides dry insecticide wasp aerosol ounce dielectric breakdown voltage volts minimum per cup test apart immediate effective kill distance of with a shotgun pattern on qualified products list note removed hazmat flag per gdurante dw generated by reorder am
748,gauge pressure dial npt psi rc ln qty del pf bodel date delivery date shall be no later than msc material for awwbsc
749,application software microcomputer dsgn prem upglic nicklelicense
750,tires tubes liners valves txmas michelin tires youngblood auto tire
751,fax machinecopierscannercolor printer combinati floor bw copier april
752,splices wirecable compression htap live end cap with bail change to insurance stock per st elmo idle stock review in qpl critical materials supply arrangement
753,asphaltic concrete pavement hot mixcold laid in zone deliveryburnet rdbraker loads cold mixnsc cold mixjohnsonj
754,braces cross arm support insulator cable rack insul on qualified products list critical materials supply arrangement cmsa
755,pole line hardware anchors arms bolts braces brace cross arm wood span x drop reversible hole at arm fitting and hole at pole fitting minimum average ultimate strength of pounds these braces are for underbuilt crossarms on qualified products list critical materials supply arrangement cmsa
756,coverall disposable lt fabric large wcollar rc ln qty del pf bo del date material needed at awwbsc
757,solar heat collector systems and accessories universal side of pole mount for solar panel solar panels and batteriescssl hamilton r johnson
758,water drinking including distilled gldrinking water drinking water
759,valve gate brass in wheel type rc ln qty del pf bo del date material is for webberville store
760,axes fire fhu no force azxe flat head lb fiberglass handle force axe flat head
761,twoway radio supplies parts and accessories tessco see attached
762,cannula for iv sets x ml syringe bd blunt plastic cannula becton dickinson item number medical suppliesemergency patient care for stock replenishm
763,monitors color and monochrome environmentally certified multitouch monitor with led grecomonitors
764,meter cold water inch x inch fire service rc ln qty del pf bodel date serial delivery date shall be no later than badger meters for webberville warehouse
765,fuses fuse blocks and holders links etc fuse link fitall amp type x min max adj for esd critical materials dbs materials on qpl critical materials supply arrangement cmsa
766,signs traffic message solar message center smc he line message center woptics optically enhanced leds us communities contract solar message center smc he
767,steel reinforcing bars and rods circular stirrups hi cross substation piers wr rogelio nunez rebar
768,clothing athletic casual dress uniform wthr work uniforms for new parking officer k hunter
769,transformers power distribution incl fluid fill transformer distribution single phase pad mount kva volt with bayonet fusing per spec dated replaced by critical materials supply arrangement
